Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login,Firefox 96.0,,,2022-02-02 12:59:47,2022-02-02 13:02:07,2m - 19.677s,PASSED
,,,,,,,
Test Cases/Universal/Login/TC-1 Login with Moviestar,Firefox 96.0,,,2022-02-02 12:59:47,2022-02-02 13:00:28,40.926s,PASSED
"openBrowser("""")",Firefox 96.0,,,2022-02-02 12:59:48,2022-02-02 12:59:50,2.074s,PASSED
"setViewPortSize(1920, 1080)",Firefox 96.0,,,2022-02-02 12:59:50,2022-02-02 12:59:50,0.027s,PASSED
navigateToUrl(url),Firefox 96.0,,,2022-02-02 12:59:50,2022-02-02 13:00:19,29.479s,PASSED
delay(5),Firefox 96.0,,,2022-02-02 13:00:19,2022-02-02 13:00:24,5.016s,PASSED
maximizeWindow(),Firefox 96.0,,,2022-02-02 13:00:24,2022-02-02 13:00:24,0.268s,PASSED
"if (verifyTextPresent(""REGISTER / LOGIN"", true, STOP_ON_FAILURE))",Firefox 96.0,,,2022-02-02 13:00:24,2022-02-02 13:00:28,3.613s,PASSED
,,,,,,,
Test Cases/Universal/Login/TC-3 Login with Director,Firefox 96.0,,,2022-02-02 13:00:28,2022-02-02 13:01:02,33.875s,PASSED
"openBrowser("""")",Firefox 96.0,,,2022-02-02 13:00:28,2022-02-02 13:00:31,2.572s,PASSED
"setViewPortSize(1920, 1080)",Firefox 96.0,,,2022-02-02 13:00:31,2022-02-02 13:00:31,0.021s,PASSED
navigateToUrl(url),Firefox 96.0,,,2022-02-02 13:00:31,2022-02-02 13:00:53,22.315s,PASSED
delay(5),Firefox 96.0,,,2022-02-02 13:00:53,2022-02-02 13:00:58,5.002s,PASSED
maximizeWindow(),Firefox 96.0,,,2022-02-02 13:00:58,2022-02-02 13:00:59,0.261s,PASSED
"if (verifyTextPresent(""REGISTER / LOGIN"", true, STOP_ON_FAILURE))",Firefox 96.0,,,2022-02-02 13:00:59,2022-02-02 13:01:02,3.372s,PASSED
,,,,,,,
Test Cases/Universal/Login/TC-2 Login with Screenwriter,Firefox 96.0,,,2022-02-02 13:01:02,2022-02-02 13:01:35,32.833s,PASSED
"openBrowser("""")",Firefox 96.0,,,2022-02-02 13:01:02,2022-02-02 13:01:04,1.813s,PASSED
"setViewPortSize(1920, 1080)",Firefox 96.0,,,2022-02-02 13:01:04,2022-02-02 13:01:04,0.021s,PASSED
navigateToUrl(url),Firefox 96.0,,,2022-02-02 13:01:04,2022-02-02 13:01:26,22.148s,PASSED
delay(5),Firefox 96.0,,,2022-02-02 13:01:26,2022-02-02 13:01:31,5.002s,PASSED
maximizeWindow(),Firefox 96.0,,,2022-02-02 13:01:31,2022-02-02 13:01:32,0.264s,PASSED
"if (verifyTextPresent(""REGISTER / LOGIN"", true, STOP_ON_FAILURE))",Firefox 96.0,,,2022-02-02 13:01:32,2022-02-02 13:01:35,3.284s,PASSED
,,,,,,,
Test Cases/Universal/Login/TC-4 Login with Extra,Firefox 96.0,,,2022-02-02 13:01:35,2022-02-02 13:02:07,31.683s,PASSED
"openBrowser("""")",Firefox 96.0,,,2022-02-02 13:01:35,2022-02-02 13:01:37,2.057s,PASSED
"setViewPortSize(1920, 1080)",Firefox 96.0,,,2022-02-02 13:01:37,2022-02-02 13:01:37,0.012s,PASSED
navigateToUrl(url),Firefox 96.0,,,2022-02-02 13:01:37,2022-02-02 13:01:57,20.322s,PASSED
delay(5),Firefox 96.0,,,2022-02-02 13:01:57,2022-02-02 13:02:02,5.002s,PASSED
maximizeWindow(),Firefox 96.0,,,2022-02-02 13:02:02,2022-02-02 13:02:03,0.261s,PASSED
"if (verifyTextPresent(""REGISTER / LOGIN"", true, STOP_ON_FAILURE))",Firefox 96.0,,,2022-02-02 13:02:03,2022-02-02 13:02:07,3.837s,PASSED
closeBrowser(),Firefox 96.0,,,2022-02-02 13:02:07,2022-02-02 13:02:07,0.002s,PASSED
